Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health and Social Care ,NHS Digital ,4/8/2020,Contingent Labour,Various,BROOK STREET (UK) LTD,30331371,"73,452.87",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/1/2020,Contingent Labour,Various,BROOK STREET (UK) LTD,30319788,"67,421.07",Contingent Labour
Department of Health and Social Care ,NHS Digital ,3/25/2020,Contingent Labour,Various,BROOK STREET (UK) LTD,30308267,"65,994.73",Contingent Labour
Department of Health and Social Care ,NHS Digital ,3/18/2020,Contingent Labour,Various,BROOK STREET (UK) LTD,30299117,"65,575.05",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/15/2020,Managed Service,Platforms,BT GLOBAL SERVICES,538490,"2,770,248.78",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/19/2020,Managed Service,Platforms,BT GLOBAL SERVICES,536409,"2,709,157.10",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/20/2020,Managed Service,Platforms,BT GLOBAL SERVICES,534227,"117,891.46",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/2/2020,Managed Service,Platforms,BT GLOBAL SERVICES,790305021,"54,472.04",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/2/2020,Managed Service,Platforms,BT GLOBAL SERVICES,790298524,"45,393.37",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/2/2020,Managed Service,Platforms,BT GLOBAL SERVICES,790300781,"45,393.37",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/6/2020,Managed Service,Platforms,BT GLOBAL SERVICES,790303369,"45,393.37",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/17/2020,Managed Service,Platforms,BT GLOBAL SERVICES,543547,"2,671,870.52",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,9/14/2020,Managed Service,IT Operations,BT GLOBAL SERVICES,545592,"2,607,950.06",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/15/2020,Managed Service,Platforms,BT GLOBAL SERVICES,540982,"1,612,113.26",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/25/2020,Managed Service,IT Operations,BT GLOBAL SERVICES,790310755,"58,066.47",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/2/2020,Managed Service,Platforms,BT GLOBAL SERVICES,790307019,"45,393.37",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/3/2020,Managed Service,Platforms,BT GLOBAL SERVICES,790309032,"45,393.37",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,9/1/2020,Managed Service,IT Operations,BT GLOBAL SERVICES,790310882,"45,393.37",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/10/2020,Managed Service,Platforms,BT GLOBAL SERVICES,790309810,"31,524.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/23/2020,Workpackage,Data Services,BURENDO,INV0081B,"108,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,4/23/2020,Workpackage,Data Services,BURENDO,INV0089,"108,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/16/2020,Workpackage,Data Services,BURENDO,INV0075A,"60,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/25/2020,Workpackage,Data Services,BURENDO,INV0104,"30,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/30/2020,Workpackage,Data Services,BURENDO,INV0104B,"30,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/30/2020,Workpackage,Data Services,BURENDO,2,"-30,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/29/2020,Software,Platforms,BYTES SOFTWARE SERVICES LTD,641452,"2,871,760.01",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,5/29/2020,Software,Platforms,BYTES SOFTWARE SERVICES LTD,641684,"321,658.14",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/31/2020,Software,Live Services (incl. Cyber Security),BYTES SOFTWARE SERVICES LTD,626533,"245,430.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,7/22/2020,Software,Data Services,BYTES SOFTWARE SERVICES LTD,651429,"490,469.04",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,7/22/2020,Software,Data Services,BYTES SOFTWARE SERVICES LTD,651493,"87,750.77",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,7/9/2020,Software,Product Development,BYTES SOFTWARE SERVICES LTD,650372,"31,804.04",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,9/4/2020,Software,IT Operations,BYTES SOFTWARE SERVICES LTD,667236,"30,767.68",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,4/8/2020,Workpackage,Data Services,CABINET OFFICE,3790573,"149,616.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/2/2020,Workpackage,Corporate Services,CABINET OFFICE,3793721,"80,237.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/21/2020,Workpackage,Live Services (incl. Cyber Security),CABINET OFFICE,3793304,"35,496.12",Workpackages
Department of Health and Social Care ,NHS Digital ,6/24/2020,Workpackage,Product Development,CABINET OFFICE,3794438,"25,868.82",Workpackages
Department of Health and Social Care ,NHS Digital ,7/23/2020,Workpackage,Product Development,CABINET OFFICE,3795250,"33,931.92",Workpackages
Department of Health and Social Care ,NHS Digital ,4/1/2020,Meeting Expenses / Room Hire,Various,CALDER CONFERENCES LTD,BB11500,"35,540.35",Meeting Expenses / Room Hire
Department of Health and Social Care ,NHS Digital ,3/31/2020,Workpackage,Data Services,CAPGEMINI UK PLC,2.60E+12,"35,561.52",Workpackages
Department of Health and Social Care ,NHS Digital ,4/1/2020,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X138823,"105,169.69",Training Course Fees
Department of Health and Social Care ,NHS Digital ,5/13/2020,Managed Service,Platforms,CAPITA BUSINESS SERVICES LTD,6003985528,"63,273.15",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/8/2020,Managed Service,Platforms,CAPITA BUSINESS SERVICES LTD,6003990724,"60,466.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/30/2020,Managed Service,Platforms,CAPITA BUSINESS SERVICES LTD,6003976565,"57,494.09",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/25/2020,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X138506,"32,095.80",Training Course Fees
Department of Health and Social Care ,NHS Digital ,3/25/2020,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X138503,"27,788.24",Training Course Fees
Department of Health and Social Care ,NHS Digital ,4/1/2020,Course Fees,Live Services (incl. Cyber Security),CAPITA BUSINESS SERVICES LTD,X138821,"25,428.00",Training Course Fees
Department of Health and Social Care ,NHS Digital ,7/2/2020,Managed Service,Platforms,CAPITA BUSINESS SERVICES LTD,6003994962,"63,317.80",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/3/2020,Managed Service,Platforms,CAPITA BUSINESS SERVICES LTD,6004000591,"62,648.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/6/2020,Legal Fees and Services,Corporate Services,CAPSTICKS SOLICITORS LLP,461655,"25,849.67",Legal Fees
Department of Health and Social Care ,NHS Digital ,5/11/2020,Software,Product Development,CDW LTD,PSINV02754813,"329,472.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,5/11/2020,Software,Product Development,CDW LTD,PSINV02754813CAN,"-164,736.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,2/21/2020,Workpackage,Live Services (incl. Cyber Security),COGNIZANT WORLDWIDE LTD,CW1010000425273,"83,299.25",Workpackages
Department of Health and Social Care ,NHS Digital ,2/21/2020,Workpackage,Platforms,COGNIZANT WORLDWIDE LTD,CW1010000425275,"81,984.26",Workpackages
Department of Health and Social Care ,NHS Digital ,8/17/2020,Workpackage,Data Services,COGNIZANT WORLDWIDE LTD,CW1010000542654,"84,877.33",Workpackages
Department of Health and Social Care ,NHS Digital ,8/17/2020,Workpackage,Data Services,COGNIZANT WORLDWIDE LTD,CW1010000542653,"68,863.50",Workpackages
Department of Health and Social Care ,NHS Digital ,8/7/2020,Workpackage,Product Development,COGNIZANT WORLDWIDE LTD,CW1010000542651,"27,365.86",Workpackages
Department of Health and Social Care ,NHS Digital ,8/25/2020,Workpackage,Data Services,COGNIZANT WORLDWIDE LTD,CW1010000545001,"25,395.53",Workpackages
Department of Health and Social Care ,NHS Digital ,5/26/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882442809,"218,160.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,5/1/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882405246,"145,440.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/31/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882360549,"72,720.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,4/17/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882377756,"63,024.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,8/14/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882563675,"121,200.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,9/22/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882612778,"111,504.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,8/28/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882580574,"96,960.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,9/11/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882597633,"60,600.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,9/11/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882597634,"60,600.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,9/11/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3882597636,"48,480.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,6/18/2020,Software,Platforms,COMPUTACENTER (UK) LTD,3780106788,"39,392.33",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,9/22/2020,Managed Service,Product Development,CONCENTRA CONSULTING LTD,INV006465,"65,115.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/30/2020,Workpackage,Live Services (incl. Cyber Security),CONVERGING DATA LTD,INV0276,"131,790.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/31/2020,Workpackage,Live Services (incl. Cyber Security),CONVERGING DATA LTD,INV0285,"102,120.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/30/2020,Workpackage,Live Services (incl. Cyber Security),CONVERGING DATA LTD,INV0289,"124,200.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2020,Workpackage,IT Operations,CONVERGING DATA LTD,INV0300,"113,160.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2020,Workpackage,IT Operations,CONVERGING DATA LTD,INV0313,"112,347.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2020,Workpackage,IT Operations,CONVERGING DATA LTD,INV0306,"111,690.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2020,Workpackage,IT Operations,CONVERGING DATA LTD,INV0307,"59,130.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2020,Workpackage,IT Operations,CONVERGING DATA LTD,INV0314,"25,530.00",Workpackages
Department of Health and Social Care ,NHS Digital ,9/18/2020,Workpackage,IT Operations,CONVERGING DATA LTD,CN0316,"-62,616.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/19/2020,Software,Product Development,CORA SYSTEMS LTD,INV0315,"82,080.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,9/25/2020,Software,Product Development,CORA SYSTEMS LTD,INV0323,"35,000.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,4/30/2020,Software,Corporate Services,CORPORATE PROJECT SOLUTIONS LTD,20200412A,"28,800.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,5/31/2020,Managed Service,Data Services,DATABRICKS INC,INV101545,"42,069.69",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/30/2020,Managed Service,Data Services,DATABRICKS INC,INV101253,"33,118.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/31/2020,Managed Service,Data Services,DATABRICKS INC,INV100957,"28,558.32",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/31/2020,Managed Service,Data Services,DATABRICKS INC,INV102062,"1,165,292.89",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/30/2020,Managed Service,Data Services,DATABRICKS INC,INV101956,"95,478.63",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/19/2020,Workpackage,Corporate Services,DELOITTE LLP,8001184611,"168,912.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/23/2020,Workpackage,"Strategy,Policy and Governance",DELOITTE LLP,8001079159,"122,502.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/25/2020,Workpackage,Corporate Services,DELOITTE LLP,8001084360,"98,076.00",Workpackages
Department of Health and Social Care ,NHS Digital ,4/6/2020,Workpackage,Live Services (incl. Cyber Security),DELOITTE LLP,8001110446,"56,586.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/25/2020,Consultancy,Assurance and Risk Management,DELOITTE LLP,8001084847,"48,250.00",Consultancy
Department of Health and Social Care ,NHS Digital ,3/30/2020,Consultancy,Assurance and Risk Management,DELOITTE LLP,8001094181,"46,283.00",Consultancy
Department of Health and Social Care ,NHS Digital ,3/25/2020,Workpackage,Corporate Services,DELOITTE LLP,8001084334,"30,192.00",Workpackages
Department of Health and Social Care ,NHS Digital ,9/2/2020,Workpackage,Product Development,DELOITTE LLP,8001344931,"246,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/10/2020,Workpackage,IT Operations,DELOITTE LLP,8001312983,"166,323.60",Workpackages
Department of Health and Social Care ,NHS Digital ,9/23/2020,Workpackage,IT Operations,DELOITTE LLP,8001374847,"98,434.80",Workpackages
Department of Health and Social Care ,NHS Digital ,7/16/2020,Workpackage,Live Services (incl. Cyber Security),DELOITTE LLP,8001278511,"63,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/14/2020,Workpackage,IT Operations,DELOITTE LLP,8001274456,"60,210.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/2/2020,Workpackage,Product Development,DELOITTE LLP,8001253027,"36,618.75",Workpackages
Department of Health and Social Care ,NHS Digital ,5/27/2020,Workpackage,Product Development,DELOITTE MCS LTD,8001204396,"330,888.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/7/2020,Workpackage,Platforms,DELOITTE MCS LTD,8001263963,"213,792.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/18/2020,Workpackage,Product Development,DELOITTE MCS LTD,8001239656,"72,980.40",Workpackages
Department of Health and Social Care ,NHS Digital ,8/5/2020,Workpackage,Platforms,DELOITTE MCS LTD,8001306690,"46,800.00",Workpackages
Department of Health and Social Care ,NHS Digital ,4/24/2020,Rent,Corporate Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,6.15E+11,"259,166.41",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,6/23/2020,Rent,Corporate Services,DEPARTMENT OF HEALTH,217992,"567,740.08",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,5/19/2020,Managed Service,Product Development,DEPARTMENT OF HEALTH,217941,"445,685.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,3/24/2020,Audit Fees,Assurance and Risk Management,DEPARTMENT OF HEALTH,217842,"45,416.20",Audit Fees : Internal & Other
Department of Health and Social Care ,NHS Digital ,3/27/2020,Workpackage,Product Development,DEPARTMENT OF HEALTH,217855,"33,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/19/2020,Workpackage,Corporate Services,DEPARTMENT OF HEALTH,217821,"31,941.00",Workpackages
Department of Health and Social Care ,NHS Digital ,9/24/2020,Rent,Corporate Services,DEPARTMENT OF HEALTH,218346,"38,744.63",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,3/25/2020,Workpackage,Data Services,DIABETES UK,35237,"52,439.40",Workpackages
Department of Health and Social Care ,NHS Digital ,9/25/2020,Workpackage,Data Services,DIABETES UK,35369,"60,147.30",Workpackages
Department of Health and Social Care ,NHS Digital ,6/25/2020,Workpackage,Data Services,DIABETES UK,35273,"52,439.40",Workpackages
Department of Health and Social Care ,NHS Digital ,4/30/2020,Legal Fees and Services,"Strategy,Policy and Governance",DLA PIPER UK LLP,54943169,"37,512.00",Legal Fees
Department of Health and Social Care ,NHS Digital ,4/30/2020,Legal Fees and Services,Product Development,DLA PIPER UK LLP,54941900,"28,903.22",Legal Fees
Department of Health and Social Care ,NHS Digital ,3/25/2020,Legal Fees and Services,Data Services,DLA PIPER UK LLP,54937797,"25,627.41",Legal Fees
Department of Health and Social Care ,NHS Digital ,5/28/2020,Legal Fees and Services,Platforms,DLA PIPER UK LLP,54944471,"33,450.12",Legal Fees
Department of Health and Social Care ,NHS Digital ,6/30/2020,Legal Fees and Services,"Strategy,Policy and Governance",DLA PIPER UK LLP,54947216,"30,091.50",Legal Fees
Department of Health and Social Care ,NHS Digital ,5/31/2020,Legal Fees and Services,"Strategy,Policy and Governance",DLA PIPER UK LLP,54944937,"28,854.00",Legal Fees
Department of Health and Social Care ,NHS Digital ,7/29/2020,Legal Fees and Services,Product Development,DLA PIPER UK LLP,54949551,"28,314.07",Legal Fees
Department of Health and Social Care ,NHS Digital ,3/31/2020,Managed Service,Platforms,DMW GROUP LTD,INV005628,"533,709.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/30/2020,Managed Service,Platforms,DMW GROUP LTD,INV005689,"463,023.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/29/2020,Managed Service,Platforms,DMW GROUP LTD,INV005778,"424,314.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/30/2020,Managed Service,Platforms,DMW GROUP LTD,INV005827,"505,518.75",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/31/2020,Managed Service,Platforms,DMW GROUP LTD,INV005874,"457,553.25",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/28/2020,Managed Service,IT Operations,DMW GROUP LTD,INV005948,"355,311.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,2/24/2020,Rent,Corporate Services,EAGLE ONE LTD,SI500297,"31,500.00",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,5/29/2020,Rent,Corporate Services,EAGLE ONE LTD,SI500376,"31,500.00",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,8/28/2020,Rent,Corporate Services,EAGLE ONE LTD,SI500461,"31,500.00",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,5/31/2020,Workpackage,Product Development,EDGE TESTING SOLUTIONS LTD,6684,"32,744.26",Workpackages
Department of Health and Social Care ,NHS Digital ,5/31/2020,Workpackage,Product Development,EDGE TESTING SOLUTIONS LTD,6685,"25,940.26",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2020,Workpackage,Product Development,EDGE TESTING SOLUTIONS LTD,6829,"44,226.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2020,Workpackage,Product Development,EDGE TESTING SOLUTIONS LTD,6887,"33,169.52",Workpackages
Department of Health and Social Care ,NHS Digital ,6/30/2020,Workpackage,Product Development,EDGE TESTING SOLUTIONS LTD,6767,"28,066.50",Workpackages
Department of Health and Social Care ,NHS Digital ,4/30/2020,Managed Service,Product Development,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),EMFIN002249,"1,705,200.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/29/2020,Managed Service,Product Development,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),EMSINV058876,"250,000.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/20/2020,Managed Service,Product Development ,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),EMFIN002303,"64,838.71",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/1/2020,Workpackage,Product Development,EMIS HEALTH (RX SYSTEMS LTD),116216,"30,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/30/2020,Software,Platforms,ENTERPRISEDB,INVUK1300,"273,024.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/2/2020,Rent,Corporate Services,EVERSHEDS LLP,12001649,"180,108.00",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,6/3/2020,Rent,Corporate Services,EVERSHEDS LLP,12001709,"180,108.00",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,3/2/2020,Rent,Corporate Services,EVERSHEDS LLP,12001650,"53,789.14",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,6/3/2020,Rent,Corporate Services,EVERSHEDS LLP,12001710,"53,789.14",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,8/4/2020,Rent,Corporate Services,EVERSHEDS LLP,12001746,"180,108.00",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,8/4/2020,Rent,Corporate Services,EVERSHEDS LLP,12001747,"53,789.14",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,4/17/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,489808,"150,666.65",Data Lines
Department of Health and Social Care ,NHS Digital ,4/21/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,489955,"100,936.85",Data Lines
Department of Health and Social Care ,NHS Digital ,6/24/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,504373,"84,000.00",Data Lines
Department of Health and Social Care ,NHS Digital ,4/1/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,487692,"38,056.15",Data Lines
Department of Health and Social Care ,NHS Digital ,5/1/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,494151,"38,056.15",Data Lines
Department of Health and Social Care ,NHS Digital ,6/1/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,501975,"38,056.15",Data Lines
Department of Health and Social Care ,NHS Digital ,11/1/2019,Data Purchases and Services,Platforms,EXPONENTIAL-E,452418CAN,"-32,446.00",Data Lines
Department of Health and Social Care ,NHS Digital ,1/1/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,465949CAN,"-38,056.15",Data Lines
Department of Health and Social Care ,NHS Digital ,2/1/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,473044CAN,"-38,056.15",Data Lines
Department of Health and Social Care ,NHS Digital ,9/24/2020,Data Purchases and Services,IT Operations,EXPONENTIAL-E,524848,"233,128.80",Data Lines
Department of Health and Social Care ,NHS Digital ,7/1/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,508923,"120,000.00",Data Lines
Department of Health and Social Care ,NHS Digital ,9/21/2020,Data Purchases and Services,IT Operations,EXPONENTIAL-E,524764,"41,424.68",Data Lines
Department of Health and Social Care ,NHS Digital ,7/1/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,508918,"36,692.15",Data Lines
Department of Health and Social Care ,NHS Digital ,8/1/2020,Data Purchases and Services,Platforms,EXPONENTIAL-E,515292,"36,692.15",Data Lines
Department of Health and Social Care ,NHS Digital ,9/1/2020,Data Purchases and Services,IT Operations,EXPONENTIAL-E,521532,"36,692.15",Data Lines
Department of Health and Social Care ,NHS Digital ,4/15/2020,Software,Platforms,FIRELY,INV20200071,"47,363.66",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/31/2020,Fixtures & Fittings,Corporate Services,FLEXIFORM BUSINESS FURNITURE LTD,M54999,"88,036.18",Additions - Fixtures & Fittings
Department of Health and Social Care ,NHS Digital ,3/5/2020,Fixtures & Fittings,Corporate Services,FLEXIFORM BUSINESS FURNITURE LTD,511214,"42,385.20",Additions - Fixtures & Fittings
Department of Health and Social Care ,NHS Digital ,2/3/2020,Workpackage,Product Development,FUNNELBACK UK LTD,EMEAINV1744,"34,200.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/14/2020,Managed Service,Platforms,GARTNER UK LTD,20108411,"291,360.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,7/17/2020,Managed Service,Corporate Services,GARTNER UK LTD,20108468,"25,090.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/4/2020,Marketing,Corporate Services,GATENBYSANDERSON LTD,50964,"37,392.00",Staff Recruitment Advertising & Agency Fees
Department of Health and Social Care ,NHS Digital ,3/20/2020,Secondees,Corporate Services,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,9011930,"42,600.79",Secondees
Department of Health and Social Care ,NHS Digital ,5/7/2020,Software,"Strategy,Policy and Governance",GRANICUS LLC,126328,"25,515.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,4/2/2020,Software,Data Services,GS1 UK,140393133,"576,408.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,6/30/2020,Courier / Postal Svs / Record Archive & Destruction / Office Removal Costs,Corporate Services,HARROW GREEN LTD,NL013866,"30,977.63",Courier / Postal Svs / Record Archive & Destruction / Office Removal Costs
Department of Health and Social Care ,NHS Digital ,3/27/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1236993,"630,127.04",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/3/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1239052,"626,847.07",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/1/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1249361,"618,641.92",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/22/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1255785,"605,630.19",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/19/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1264968,"590,014.10",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/15/2020,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1253573,"568,000.85",Contingent Labour
